service (원래 사업 이름)	띄어쓰기한 사업 이름 	category_one	category_two	category_three	assigned	summary
한강공원 GIS안내시스템 유지관리	한강공원 GIS 안내 시스템 유지 관리	환경보호	환경보호일반	도시환경 	13826000	69129000
한강공원 공원등 설치 및 운영	한강공원 공원등 설치 운영	환경보호	환경보호일반	도시환경 	1523240000	6990840000
한강공원 기반시설 개선	한강공원 기반 시설 개선	환경보호	환경보호일반	도시환경 	640000000	2317000000
한강공원 기전시설 유지관리	한강공원 기전 시설 유지 관리	환경보호	환경보호일반	도시환경 	1376000000	6799422000
한강공원 나들목 증설 및 개선	한강공원 나들목 증설 개선	환경보호	환경보호일반	도시환경 	4000000000	32840000000
한강공원 문화장터 운영	한강공원 문화 장터 운영	일반공공행정	일반행정	일반행정지원 	54400000	0
한강공원 문화장터 운영	한강공원 문화 장터 운영 일반행정지원	일반공공행정	일반행정	일반행정지원 	0	0
한강공원 방범용 CCTV 관리시스템 구축	한강공원 방범용 CCTV 관리 시스템 구축	환경보호	환경보호일반	도시환경 	0	0
한강공원 수방대비 CCTV 관리시스템 구축	한강공원 수방대비 CCTV 관리 시스템 구축	환경보호	환경보호일반	도시환경 	0	0
한강공원 시민이용 홍보	한강공원 시민 이용 홍보	환경보호	환경보호일반	도시환경 	226000000	1100800000
한강공원 시설부대비	한강공원 시설 부대비	환경보호	환경보호일반	도시환경 	100000000	500000000
한강공원 위탁체육시설 관리	한강공원 위탁 체육 시설 관리	환경보호	환경보호일반	도시환경 	90000000	675000000
한강공원 이용시설 보수·정비	한강공원 이용 시설 보수 정비	환경보호	환경보호일반	도시환경 	3780400000	15680200000
한강공원 자전거도로 업그레이드	한강공원 자전거 도로 업그레이드	환경보호	환경보호일반	도시환경 	1199600000	6499600000
한강공원 전망쉼터(카페) 운영 및 관리	한강공원 전망 쉼터 카페 운영 관리	환경보호	환경보호일반	도시환경 	196000000	825000000
한강공원 접근시설 유지관리	한강공원 접근 시설 유지 관리	환경보호	환경보호일반	도시환경 	1492500000	7234000000
한강공원 주차장 운영	한강공원 주차장 운영	환경보호	환경보호일반	도시환경 	130680000	649320000
한강공원 체육시설 운영 및 관리	한강공원 체육 시설 운영 관리	환경보호	환경보호일반	도시환경 	102400000	482600000
한강공원 환경영향조사	한강공원 환경 영향 조사	환경보호	환경보호일반	도시환경 	0	79278000
한강교량 긴급복구 비축자재 정비	한강교량 긴급 복구 비축 자재 정비	수송및교통	도로	도로관리 	700000000	1900000000
한강교량 및 1종시설물 경관조명 유지보수	한강교량 1종 시설물 경관 조명 유지 보수 	수송및교통	도로	도로관리 	0	400000000
한강교량 및 도로시설물 경관조명 유지보수	한강교량 도로 시설물 경관 조명 유지 보수 	수송및교통	도로	도로관리 	400000000	1600000000
한강교량 박물관 건립 타당성조사 연구용역	한강교량 박물관 건립 타당성 조사 연구 용역	수송및교통	도로	도로관리 	0	0
한강교량 방호	한강교량 방호	수송및교통	도로	도로관리 	10000000	47000000
한강교량 보도제설	한강교량 보도 제설	수송및교통	도로	도로관리 	0	0
한강교량 수중구조물 상시점검	한강교량 수중 구조물 상시 점검	수송및교통	도로	도로관리 	460830000	2396320000
